,Location,Blackout Date,Nearing Black Out-Check with SD before scheduling
AZ,,"June 19, 2015 (1 instructor after 12pm)",
AZ,Tuscon,17-Jun-15,
AZ,,,
CO,Colorado Springs,None,
CO,,,
CO,Denver,None,
CO,,,
CO,Fort Collins,None,
CO,,,
CA,Auburn,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CA,Atwater,None,
CA,,,
CA,Avenal,None,
CA,,,
CA,Burlingame,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Bakersfiled,5-Jun-15,
CA,,,
CA,California City,None,
CA,,,
CA,Carmel,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,18-Jun-15,
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Chowchilla,None,
CA,,,
CA,Clovis,None,
CA,,,
CA,Coalinga,None,
CA,,,
CA,Concord,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Corcoran,None,
CA,,,
CA,Crescent City,13-Jun-15,
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,27-Jun-15,
CA,Delano,None,
CA,,,
CA,Dinuba,None,
CA,,,
CA,Downey,5-Jun-15,
CA,,,
CA,Dos Palos,None,
CA,,,
CA,El Monte,None,
CA,,,
CA,Elk Grove,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CA,,6-Jun-15,
CA,,,
CA,,7-Jun-15,
CA,,,
CA,,9-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Exeter,None,
CA,,,
